Disease,Description,Why it occurred,Prevention measures,Recommended steps to cure the disease
Tomato bacterial spot,A bacterial disease that causes black spots on leaves and fruit.,Caused by the bacterium Xanthomonas campestris pv. vesicatoria.,Plant resistant varieties and avoid overwatering.,Apply a copper-based fungicide.
Tomato early blight,A fungal disease that causes brown spots on leaves.,Caused by the fungus Alternaria solani.,Plant resistant varieties and avoid overwatering.,Apply a fungicide such as copper or chlorothalonil.
Tomato healthy,A healthy tomato plant has green leaves and produces tomatoes.,,,
Tomato late blight,A fungal disease that causes black lesions on leaves and fruit.,Caused by the fungus Phytophthora infestans.,Plant resistant varieties and avoid overwatering.,Apply a fungicide such as mancozeb or chlorothalonil.
Tomato leaf mold,A fungal disease that causes gray or brown mold on leaves.,Caused by the fungus Cladosporium fulvum.,Plant resistant varieties and avoid overwatering.,Apply a fungicide such as chlorothalonil or mancozeb.
Tomato mosaic virus,A virus that causes yellow or green mosaics on leaves.,Caused by the tomato mosaic virus.,Plant resistant varieties and control aphid vectors.,There is no cure for tomato mosaic virus
Tomato septoria leaf spot,A fungal disease that causes brown spots on leaves.,Caused by the fungus Septoria lycopersici.,"Plant resistant varieties, practice crop rotation, and avoid overwatering.",Apply a fungicide such as chlorothalonil or mancozeb.
Tomato spider mites (two-spotted spider mite),"A mite that sucks the sap from tomato leaves, causing them to turn yellow and die.",Caused by the mite Tetranychus urticae.,"Plant resistant varieties, avoid overwatering, and control weeds.",Apply an insecticide such as neem oil or insecticidal soap.
Tomato target spot,A fungal disease that causes target-shaped spots on leaves.,Caused by the fungus Corynespora cassiicola.,"Plant resistant varieties, avoid overwatering, and practice crop rotation.",Apply a fungicide such as chlorothalonil or mancozeb.
Tomato yellow leaf curl virus,A virus that causes yellowing and curling of leaves.,Caused by the tomato yellow leaf curl virus.,Plant resistant varieties and control whitefly vectors.,There is no cure for tomato yellow leaf curl virus. Infected plants should be removed and destroyed.
